# req_dpus alloc_dpus active_dpus t_in_ms t_launch_ms t_out_ms t_mm_ms
1 1 1 0.4734 523.8696 2.7621 527.1051
2 2 2 0.3735 262.5847 1.6747 264.6329
4 4 4 0.3145 131.9572 1.1581 133.4297
8 8 8 0.2518 66.0940 0.9184 67.2641
16 16 16 0.2810 33.5329 0.9167 34.7306
32 32 32 0.3231 17.1591 0.8726 18.3548
49 49 48 0.4165 12.5942 1.0300 14.0408
64 64 64 0.4286 9.0569 1.0274 10.5129
128 128 128 0.7250 5.0030 1.4654 7.1934
256 256 256 0.8840 3.0127 1.2862 5.1829
512 512 512 1.5111 2.5381 1.6887 5.7379
1024 1024 1024 1.6495 2.4449 1.7832 5.8776
2048 2048 2048 2.6591 2.6058 2.8618 8.1267
2560 2560 2048 2.8173 2.6554 3.0589 8.5316
