ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.075429,0.67238,0.06919,0.030024,0.67238,0.06919,213.7946846846847,7.620447723271277,15.393951486666205,5.943912680783008,7.773503763394928,1.6765350424882692,433milc
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.075429,0.67238,0.06919,0.030024,0.67238,0.06919,213.7946846846847,9.620447723271276,19.669750017266207,8.3593503471963,10.04930229399493,1.2610973760749769,433milc
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.501834,0.998695,0.95346,0.477383,0.998695,0.95346,283.8578078078078,219.47070603573331,239.9517753533477,167.48317007316837,20.481069317614384,51.98753596256495,462libquantum
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.501834,0.998695,0.95346,0.477383,0.998695,0.95346,283.8578078078078,221.47070603573331,262.00548855224775,183.56802048587295,40.53478251651444,37.902685549860365,462libquantum
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.04124,0.868708,0.145208,0.039265,0.868708,0.145208,215.3742042042042,8.084135796811799,12.39810589651006,7.6876590498401125,4.3139700996982615,0.3964767469716861,473astar
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.04124,0.868708,0.145208,0.039265,0.868708,0.145208,215.3742042042042,10.084135796811799,15.88527143411006,10.388532784048117,5.801135637298261,0.30439698723631814,473astar
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.210069,0.530773,0.023909,0.145412,0.530773,0.023909,212.53915915915914,12.98979318801608,28.851177810938214,11.847309935791554,15.861384622922134,1.142483252224526,605mcf_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.210069,0.530773,0.023909,0.145412,0.530773,0.023909,212.53915915915914,14.989793188016078,36.29683641104822,15.69503673597866,21.30704322303214,0.7052435479625814,605mcf_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.193628,0.995579,0.999863,0.122787,0.995579,0.999863,264.1107207207207,72.86673533852235,93.50083949477386,35.793961026862036,20.63410415625151,37.07277431166031,619lbm_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.193628,0.995579,0.999863,0.122787,0.995579,0.999863,264.1107207207207,74.86673533852235,103.22027861313386,40.537554956003774,28.35354327461151,34.32918038251857,619lbm_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.054191,0.292428,0.391401,0.04121,0.292428,0.391401,213.42804804804803,7.2214178886198015,9.261968735171237,5.394951791923714,2.0405508465514357,1.8264660966960875,620onmetpp_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.054191,0.292428,0.391401,0.04121,0.292428,0.391401,213.42804804804803,9.2214178886198,12.279287707611235,7.731121786283456,3.057869818991435,1.4902961023363446,620onmetpp_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.000802,0.212494,1.0,0.000331,0.212494,1.0,217.56369369369372,4.057598185150341,4.083813350314707,4.011800231175164,0.026215165164366283,0.0457979539751765,625x264_s
