ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,213.15153153153156,5.798423971143224,8.551021312709992,5.951125131116473,2.7525973415667675,0.1527011599732484,433milc
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,213.15153153153156,7.798423971143224,11.460292273959992,8.368170525118792,3.6618683028167673,0.569746553975568,433milc
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,264.14153153153154,186.5130112250561,202.36108167904698,144.80694925003155,15.848070453990886,41.70606197502454,462libquantum
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,264.14153153153154,188.5130112250561,221.93371059616697,159.45075102460572,33.420699371110885,29.062260200450368,462libquantum
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,216.20375375375377,7.675257540137753,12.032441222289075,7.70899722271438,4.357183682151321,0.03373968257662696,473astar
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,216.20375375375377,9.675257540137753,15.453584093169074,10.413198122962289,5.77832655303132,0.7379405828245353,473astar
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,212.50465465465467,12.436790536216376,28.18333511430343,15.600161465945417,15.746544578087052,3.163370929729041,605mcf_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,212.50465465465467,14.436790536216376,35.48297933334344,20.331756382669255,21.04618879712706,5.8949658464528785,605mcf_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,257.594984984985,56.511386380480786,59.803251627070026,35.25062648511487,3.2918652465892393,21.260759895365915,619lbm_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,257.594984984985,58.511386380480786,66.68477187935002,39.98570613901871,8.173385498869237,18.525680241462076,619lbm_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,220.70243243243243,6.258806822853251,7.476286448743768,5.203211950357698,1.2174796258905172,1.0555948724955533,620onmetpp_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,220.70243243243243,8.258806822853252,10.128267056243768,7.4842386049201375,1.869460233390516,0.7745682179331146,620onmetpp_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.00034,0.211657,1.0,0.00034,0.211657,1.0,215.4186186186186,4.032451379243584,4.0352643045605765,4.012026331030517,0.0028129253169923985,0.020425048213066788,625x264_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.00034,0.211657,1.0,0.00034,0.211657,1.0,215.4186186186186,6.032451379243584,6.040823205960576,6.014381093376002,0.008371826716992103,0.01807028586758186,625x264_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.003328,0.071886,0.995466,0.003328,0.071886,0.995466,214.5417117117117,4.142785525577591,4.160744844821417,4.058682462720839,0.017959319243825433,0.08410306285675251,638imagick_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.003328,0.071886,0.995466,0.003328,0.071886,0.995466,214.5417117117117,6.142785525577591,6.201201943061417,6.077307499023753,0.05841641748382553,0.06547802655383794,638imagick_s
