ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,204.32384384384383,5.773093477349891,8.538661333868664,5.948279533396704,2.7655678565187722,0.1751860560468126,433milc
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,204.32384384384383,7.773093477349891,11.447932295118662,8.365324927399024,3.6748388177687703,0.592231450049133,433milc
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,262.1803303303303,183.57973535317996,201.5409153051519,144.23101306149408,17.961179951971957,39.348722291685874,462libquantum
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,262.1803303303303,185.57973535317996,221.1135442222719,158.87481483606825,35.533808869091956,26.704920517111702,462libquantum
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,206.46216216216214,7.583949105182515,11.98404464828225,7.695523906906281,4.400095543099735,0.11157480172376655,473astar
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,206.46216216216214,9.583949105182516,15.405187519162249,10.39972480715419,5.821238413979733,0.815775701971674,473astar
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,203.1447747747748,12.390139410234767,28.15906264392483,15.594434140875084,15.768923233690064,3.204294730640317,605mcf_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,203.1447747747748,14.390139410234767,35.45870686296483,20.326029057598923,21.068567452730065,5.9358896473641565,605mcf_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,251.21816816816815,54.92469592286874,59.026006318370285,34.815413150936934,4.101310395501542,20.10928277193181,619lbm_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,251.21816816816815,56.92469592286874,65.90752657065028,39.55049280484078,8.982830647781533,17.374203118027964,619lbm_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,211.92117117117118,6.192621237600096,7.439755347193594,5.194574887090494,1.2471341095934978,0.9980463505096022,620onmetpp_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.033875,0.308222,0.39844,0.033875,0.308222,0.39844,211.92117117117118,8.192621237600095,10.091735954693593,7.4756015416529324,1.8991147170934983,0.7170196959471626,620onmetpp_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.00034,0.211657,1.0,0.00034,0.211657,1.0,207.45291291291292,4.031272010701684,4.0346910654539085,4.011852629698071,0.003419054752224149,0.019419381003613623,625x264_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.00034,0.211657,1.0,0.00034,0.211657,1.0,207.45291291291292,6.031272010701684,6.040249966853909,6.014207392043555,0.008977956152224742,0.017064618658129582,625x264_s
