ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.075429,0.672381,0.069196,0.030024,0.672381,0.069196,78.9255855855856,7.381747671207818,14.920719558651113,5.90054104265816,7.538971887443295,1.481206628549658,433milc
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.075429,0.672381,0.069196,0.030024,0.672381,0.069196,78.9255855855856,9.381747671207819,19.196520352121112,8.31597756389432,9.814772680913293,1.065770107313499,433milc
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.507947,0.998693,0.953416,0.479862,0.998693,0.953416,195.9213813813814,175.29118534475612,200.2885712555728,139.58259667808835,24.99738591081669,35.708588666667765,462libquantum
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.507947,0.998693,0.953416,0.479862,0.998693,0.953416,195.9213813813814,177.29118534475612,222.5865346537028,155.76430432269916,45.2953493089467,21.526881022056955,462libquantum
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.041235,0.868694,0.145194,0.039265,0.868694,0.145194,78.81498498498499,7.203519592782338,11.68662192555188,7.499515559922869,4.483102332769541,0.2959959671405308,473astar
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.041235,0.868694,0.145194,0.039265,0.868694,0.145194,78.81498498498499,9.203519592782339,15.17358983825188,10.200374567512409,5.970070245469541,0.9968549747300699,473astar
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.21007,0.530773,0.02391,0.145412,0.530773,0.02391,76.82195195195195,12.723492618382922,28.48950415876682,11.791141665618063,15.766011540383898,0.9323509527648586,605mcf_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.21007,0.530773,0.02391,0.145412,0.530773,0.02391,76.82195195195195,14.723492618382924,35.93518868206682,15.638876049816094,21.2116960636839,0.9153834314331704,605mcf_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.19364,0.995579,0.999863,0.122787,0.995579,0.999863,153.84006006006004,54.76829224026825,72.25088871332312,28.244586147785046,17.48259647305487,26.523706092483206,619lbm_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.19364,0.995579,0.999863,0.122787,0.995579,0.999863,153.84006006006004,56.76829224026825,81.97080624012312,32.98817307250675,25.202513999854872,23.780119167761505,619lbm_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.054134,0.292427,0.391399,0.041196,0.292427,0.391399,77.43294294294294,6.3996079673632655,8.413795284172577,5.244378966267904,2.014187316809312,1.1552290010953614,620onmetpp_s
