ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,dram_num_reads_data,dram_num_reads_inst,dram_num_reads_total,dram_num_writes,dram_read_bursts,dram_write_bursts,dram_bytes_read_data,dram_bytes_read_inst,dram_bytes_read_total,dram_bytes_read_data_MB,dram_avg_q_lat_cyc,dram_avg_bus_lat_cyc,dram_avg_mem_acc_lat_cyc,dram_tot_q_lat_ticks,dram_tot_bus_lat_ticks,dram_tot_mem_acc_lat_ticks,dram_bw_read_total_Bps,dram_bw_read_data_Bps,dram_bw_total_Bps,sys_avg_rd_bw_Bps,sim_seconds,sim_ticks,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,239.13948948948948,5.824186385900713,8.587408033882479,5.959502327560535,2.7632216479817657,0.13531594165982153,25500.0,1879.0,27379.0,0.0,27379.0,0.0,738219.0,51334.0,789553.0,0.7040205001831055,186.61096096096097,10.006006006006006,239.13948948948948,1701370752.0,91226828.0,2180284220.0,30427856.0,28449542.0,30427856.0,67528579.36426209,0.025948,25948361664.0,433milc
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,239.13948948948948,7.824186385900713,11.496678995132479,8.376547721562856,3.6724926092317656,0.5523613356621428,25500.0,1879.0,27379.0,0.0,27379.0,0.0,738219.0,51334.0,789553.0,0.7040205001831055,186.61096096096097,10.006006006006006,239.13948948948948,1701370752.0,91226828.0,2180284220.0,30427856.0,28449542.0,30427856.0,67528579.36426209,0.025948,25948361664.0,433milc
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,291.0772972972973,195.58459001889005,213.62550948108142,152.71704142260958,18.04091946219137,42.86754859628047,201359421.0,1625.0,201361046.0,23296666.0,201308469.0,23296666.0,5303812077.0,43898.0,5303855975.0,5058.109356880188,238.54876876876878,10.006006006006006,291.0772972972973,15991289306644.0,670759818708.0,19512577046392.0,380255971.0,380252824.0,487153418.0,923931454.1487222,13.94812,13948120162089.0,462libquantum
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,291.0772972972973,197.58459001889005,233.19813839820142,167.36084319718375,35.61354837931137,30.2237468217063,201359421.0,1625.0,201361046.0,23296666.0,201308469.0,23296666.0,5303812077.0,43898.0,5303855975.0,5058.109356880188,238.54876876876878,10.006006006006006,291.0772972972973,15991289306644.0,670759818708.0,19512577046392.0,380255971.0,380252824.0,487153418.0,923931454.1487222,13.94812,13948120162089.0,462libquantum
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,240.59084084084085,7.754925770301325,12.153597139566473,7.7427263031089595,4.3986713692651485,0.012199467192365532,20381.0,1641.0,22022.0,0.0,22022.0,0.0,589838.0,44985.0,634823.0,0.5625133514404297,188.06231231231232,10.006006006006006,240.59084084084085,1379122219.0,73377304.0,1764331043.0,81295547.0,75534760.0,81295547.0,180489040.8424337,0.007809,7808828688.0,473astar
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,240.59084084084085,9.754925770301325,15.574740010446472,10.446927203356868,5.819814240145147,0.6920014330555428,20381.0,1641.0,22022.0,0.0,22022.0,0.0,589838.0,44985.0,634823.0,0.5625133514404297,188.06231231231232,10.006006006006006,240.59084084084085,1379122219.0,73377304.0,1764331043.0,81295547.0,75534760.0,81295547.0,180489040.8424337,0.007809,7808828688.0,473astar
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,238.29342342342343,12.481575692450038,28.250211733883358,15.615941653704013,15.76863604143332,3.134365961253975,159616.0,1650.0,161266.0,0.0,161266.0,0.0,4627576.0,45057.0,4672633.0,4.413200378417969,185.7648948948949,10.006006006006006,238.29342342342343,9975868145.0,537338312.0,12796733017.0,27181363.0,26919260.0,27181363.0,60038846.81010681,0.171906,171905766822.0,605mcf_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,238.29342342342343,14.481575692450038,35.54985595292336,20.34753657042785,21.068280260473323,5.865960877977811,159616.0,1650.0,161266.0,0.0,161266.0,0.0,4627576.0,45057.0,4672633.0,4.413200378417969,185.7648948948949,10.006006006006006,238.29342342342343,9975868145.0,537338312.0,12796733017.0,27181363.0,26919260.0,27181363.0,60038846.81010681,0.171906,171905766822.0,605mcf_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,280.04045045045046,58.420183570257905,62.539041792565676,36.78251396801063,4.118858222307772,21.63766960224727,30678360.0,1920.0,30680280.0,8104488.0,30680031.0,8104488.0,991231485.0,52383.0,991283868.0,945.312008857727,227.51192192192192,10.006006006006006,280.04045045045046,2324364359738.0,102225863292.0,2861019461990.0,367105137.0,367085738.0,559203920.0,727162905.3656659,2.700272,2700272394963.0,619lbm_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,280.04045045045046,60.420183570257905,69.42056204484567,41.51759362191448,9.000378474587762,18.902589948343426,30678360.0,1920.0,30680280.0,8104488.0,30680031.0,8104488.0,991231485.0,52383.0,991283868.0,945.312008857727,227.51192192192192,10.006006006006006,280.04045045045046,2324364359738.0,102225863292.0,2861019461990.0,367105137.0,367085738.0,559203920.0,727162905.3656659,2.700272,2700272394963.0,619lbm_s
