ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,dram_num_reads_data,dram_num_reads_inst,dram_num_reads_total,dram_num_writes,dram_read_bursts,dram_write_bursts,dram_bytes_read_data,dram_bytes_read_inst,dram_bytes_read_total,dram_bytes_read_data_MB,dram_avg_q_lat_cyc,dram_avg_bus_lat_cyc,dram_avg_mem_acc_lat_cyc,dram_tot_q_lat_ticks,dram_tot_bus_lat_ticks,dram_tot_mem_acc_lat_ticks,dram_bw_read_total_Bps,dram_bw_read_data_Bps,dram_bw_total_Bps,sys_avg_rd_bw_Bps,sim_seconds,sim_ticks,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,234.24429429429432,5.815597346693428,8.580554086260253,5.957924365496393,2.7649567395668253,0.14232701880296528,24085.0,1771.0,25856.0,0.0,25856.0,0.0,736804.0,51226.0,788030.0,0.7026710510253906,181.71576576576575,10.006006006006006,234.24429429429432,1564581381.0,86152192.0,2016854533.0,30396047.0,28420147.0,30396047.0,63828650.65672559,0.025925,25925410971.0,433milc
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,234.24429429429432,7.815597346693428,11.489825047510251,8.374969759498715,3.6742277008168234,0.5593724128052866,24085.0,1771.0,25856.0,0.0,25856.0,0.0,736804.0,51226.0,788030.0,0.7026710510253906,181.71576576576575,10.006006006006006,234.24429429429432,1564581381.0,86152192.0,2016854533.0,30396047.0,28420147.0,30396047.0,63828650.65672559,0.025925,25925410971.0,433milc
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,293.5587387387387,196.843633088846,214.6632382096858,153.44575397132073,17.81960512083981,43.397879117525264,220400631.0,1531.0,220402162.0,23296652.0,220341774.0,23296652.0,5322853287.0,43804.0,5322897091.0,5076.268469810486,241.0302102102102,10.006006006006006,293.5587387387387,17685304415080.0,734178790968.0,21539522725888.0,379391097.0,379387975.0,485663886.0,1005390760.7923704,14.030105,14030105425758.0,462libquantum
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,293.5587387387387,198.843633088846,234.23586712680577,168.0895557458949,35.39223403795978,30.754077342951092,220400631.0,1531.0,220402162.0,23296652.0,220341774.0,23296652.0,5322853287.0,43804.0,5322897091.0,5076.268469810486,241.0302102102102,10.006006006006006,293.5587387387387,17685304415080.0,734178790968.0,21539522725888.0,379391097.0,379387975.0,485663886.0,1005390760.7923704,14.030105,14030105425758.0,462libquantum
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,238.6357957957958,7.741961527944743,12.143884406147135,7.7400223364046195,4.4019228782023925,0.0019391915401234527,19249.0,1552.0,20801.0,0.0,20801.0,0.0,588706.0,44896.0,633602.0,0.5614337921142578,186.10726726726728,10.006006006006006,238.6357957957958,1289115342.0,69308932.0,1652966434.0,81228946.0,75473196.0,81228946.0,170670503.0894902,0.0078,7800199659.0,473astar
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,238.6357957957958,9.741961527944744,15.565027277027134,10.444223236652526,5.8230657490823905,0.7022617087077823,19249.0,1552.0,20801.0,0.0,20801.0,0.0,588706.0,44896.0,633602.0,0.5614337921142578,186.10726726726728,10.006006006006006,238.6357957957958,1289115342.0,69308932.0,1652966434.0,81228946.0,75473196.0,81228946.0,170670503.0894902,0.0078,7800199659.0,473astar
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,232.83678678678677,12.466019391417515,28.236061333148594,15.612602729250943,15.77004194173108,3.1465833378334285,150747.0,1551.0,152298.0,0.0,152298.0,0.0,4618707.0,44958.0,4663665.0,4.404742240905762,180.30825825825826,10.006006006006006,232.83678678678677,9144376206.0,507456936.0,11808372822.0,27152790.0,26891036.0,27152790.0,56749402.83779424,0.171756,171756380025.0,605mcf_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,232.83678678678677,14.466019391417515,35.53570555218859,20.344197645974784,21.069686160771074,5.87817825455727,150747.0,1551.0,152298.0,0.0,152298.0,0.0,4618707.0,44958.0,4663665.0,4.404742240905762,180.30825825825826,10.006006006006006,232.83678678678677,9144376206.0,507456936.0,11808372822.0,27152790.0,26891036.0,27152790.0,56749402.83779424,0.171756,171756380025.0,605mcf_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,281.1543843843844,58.57169946959056,62.674814851322566,36.858539188017396,4.103115381732003,21.713160281573167,32420212.0,1828.0,32422040.0,8104486.0,32421789.0,8104486.0,992973337.0,52291.0,993025628.0,946.9731683731079,228.62585585585586,10.006006006006006,281.1543843843844,2468348925424.0,108029400948.0,3035470858612.0,366892733.0,366873413.0,558543623.0,766653219.1789768,2.706583,2706582987054.0,619lbm_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,281.1543843843844,60.57169946959056,69.55633510360256,41.59361884192124,8.984635634012001,18.97808062766932,32420212.0,1828.0,32422040.0,8104486.0,32421789.0,8104486.0,992973337.0,52291.0,993025628.0,946.9731683731079,228.62585585585586,10.006006006006006,281.1543843843844,2468348925424.0,108029400948.0,3035470858612.0,366892733.0,366873413.0,558543623.0,766653219.1789768,2.706583,2706582987054.0,619lbm_s
