ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,dram_num_reads_data,dram_num_reads_inst,dram_num_reads_total,dram_num_writes,dram_read_bursts,dram_write_bursts,dram_bytes_read_data,dram_bytes_read_inst,dram_bytes_read_total,dram_bytes_read_data_MB,dram_avg_q_lat_cyc,dram_avg_bus_lat_cyc,dram_avg_mem_acc_lat_cyc,dram_tot_q_lat_ticks,dram_tot_bus_lat_ticks,dram_tot_mem_acc_lat_ticks,dram_bw_read_total_Bps,dram_bw_read_data_Bps,dram_bw_total_Bps,sys_avg_rd_bw_Bps,sim_seconds,sim_ticks,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,204.32384384384383,5.773093477349891,8.538661333868664,5.948279533396704,2.7655678565187722,0.1751860560468126,24085.0,1771.0,25856.0,0.0,25856.0,0.0,736804.0,51226.0,788030.0,0.7026710510253906,151.7953153153153,10.006006006006006,204.32384384384383,1306964988.0,86152192.0,1759238140.0,30541970.0,28556585.0,30541970.0,64135075.00648694,0.025802,25801544628.0,433milc
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.030137,0.672375,0.069097,0.030137,0.672375,0.069097,204.32384384384383,7.773093477349891,11.447932295118662,8.365324927399024,3.6748388177687703,0.592231450049133,24085.0,1771.0,25856.0,0.0,25856.0,0.0,736804.0,51226.0,788030.0,0.7026710510253906,151.7953153153153,10.006006006006006,204.32384384384383,1306964988.0,86152192.0,1759238140.0,30541970.0,28556585.0,30541970.0,64135075.00648694,0.025802,25801544628.0,433milc
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,262.1803303303303,183.57973535317996,201.5409153051519,144.23101306149408,17.961179951971957,39.348722291685874,209897102.0,1531.0,209898633.0,23296656.0,209842292.0,23296656.0,5312349758.0,43804.0,5312393562.0,5066.251523971558,209.6518018018018,10.006006006006006,262.1803303303303,14649940571555.0,699194516944.0,18320501943219.0,403481291.0,403477964.0,516725544.0,1020287919.1389459,13.166394,13166393779647.0,462libquantum
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.439759,0.998656,0.952246,0.439759,0.998656,0.952246,262.1803303303303,185.57973535317996,221.1135442222719,158.87481483606825,35.533808869091956,26.704920517111702,209897102.0,1531.0,209898633.0,23296656.0,209842292.0,23296656.0,5312349758.0,43804.0,5312393562.0,5066.251523971558,209.6518018018018,10.006006006006006,262.1803303303303,14649940571555.0,699194516944.0,18320501943219.0,403481291.0,403477964.0,516725544.0,1020287919.1389459,13.166394,13166393779647.0,462libquantum
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,206.46216216216214,7.583949105182515,11.98404464828225,7.695523906906281,4.400095543099735,0.11157480172376655,19249.0,1552.0,20801.0,0.0,20801.0,0.0,588706.0,44896.0,633602.0,0.5614337921142578,153.93363363363363,10.006006006006006,206.46216216216214,1066257275.0,69308932.0,1430108367.0,82324340.0,76490972.0,82324340.0,172972039.13517696,0.007696,7696411551.0,473astar
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.039316,0.871556,0.144984,0.039316,0.871556,0.144984,206.46216216216214,9.583949105182516,15.405187519162249,10.39972480715419,5.821238413979733,0.815775701971674,19249.0,1552.0,20801.0,0.0,20801.0,0.0,588706.0,44896.0,633602.0,0.5614337921142578,153.93363363363363,10.006006006006006,206.46216216216214,1066257275.0,69308932.0,1430108367.0,82324340.0,76490972.0,82324340.0,172972039.13517696,0.007696,7696411551.0,473astar
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,203.1447747747748,12.390139410234767,28.15906264392483,15.594434140875084,15.768923233690064,3.204294730640317,150747.0,1551.0,152298.0,0.0,152298.0,0.0,4618707.0,44958.0,4663665.0,4.404742240905762,150.61624624624625,10.006006006006006,203.1447747747748,7638538244.0,507456936.0,10302534860.0,27268772.0,27005899.0,27268772.0,56991804.19779287,0.171026,171025854282.0,605mcf_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.204466,0.530648,0.023901,0.204466,0.530648,0.023901,203.1447747747748,14.390139410234767,35.45870686296483,20.326029057598923,21.068567452730065,5.9358896473641565,150747.0,1551.0,152298.0,0.0,152298.0,0.0,4618707.0,44958.0,4663665.0,4.404742240905762,150.61624624624625,10.006006006006006,203.1447747747748,7638538244.0,507456936.0,10302534860.0,27268772.0,27005899.0,27268772.0,56991804.19779287,0.171026,171025854282.0,605mcf_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,251.21816816816815,54.92469592286874,59.026006318370285,34.815413150936934,4.101310395501542,20.10928277193181,32392951.0,1825.0,32394776.0,8104474.0,32394526.0,8104474.0,992946076.0,52288.0,992998364.0,946.9471702575684,198.6896396396396,10.006006006006006,251.21816816816815,2143339941247.0,107938560632.0,2709984990039.0,388701072.0,388680604.0,591749390.0,811562854.1932169,2.554658,2554658155296.0,619lbm_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.122444,0.995579,0.999864,0.122444,0.995579,0.999864,251.21816816816815,56.92469592286874,65.90752657065028,39.55049280484078,8.982830647781533,17.374203118027964,32392951.0,1825.0,32394776.0,8104474.0,32394526.0,8104474.0,992946076.0,52288.0,992998364.0,946.9471702575684,198.6896396396396,10.006006006006006,251.21816816816815,2143339941247.0,107938560632.0,2709984990039.0,388701072.0,388680604.0,591749390.0,811562854.1932169,2.554658,2554658155296.0,619lbm_s
