size,compute,mem_latency_ns,status,simSeconds,simTicks,simInsts,hostSeconds,busBusyTicks,dmaBytes,dmaPackets,topPioCount
8,c5,0,PASS,1.828329,1828329357000,1077251917,3558.77,40108032000,75497472,2359296,491520
8,c5,2,PASS,1.828329,1828329357000,1077251917,3643.58,40108032000,75497472,2359296,491520
8,c5,4,PASS,1.828329,1828329357000,1077251917,3624.14,40108032000,75497472,2359296,491520
8,c5,8,PASS,1.835264,1835263980000,1077251917,3655.06,40108032000,75497472,2359296,491520
8,c5,16,PASS,1.977215,1977214573000,1077251917,3461.12,40108032000,75497472,2359296,491520
8,c5,32,PASS,2.227796,2227795906000,1077251917,3776.47,40108032000,75497472,2359296,491520
8,c5,64,PASS,2.659794,2659794364000,1077251917,3841.22,40108032000,75497472,2359296,491520
8,c5,128,PASS,3.531697,3531697094000,1077251917,3715.87,40108032000,75497472,2359296,491520
8,c9,0,PASS,1.869484,1869484259000,1077251917,3444.24,40108032000,75497472,2359296,491520
8,c9,2,PASS,1.869484,1869484259000,1077251917,3625.60,40108032000,75497472,2359296,491520
8,c9,4,PASS,1.869484,1869484259000,1077251917,3687.62,40108032000,75497472,2359296,491520
8,c9,8,PASS,1.876620,1876620382000,1077251917,3713.76,40108032000,75497472,2359296,491520
8,c9,16,PASS,1.985003,1985003397000,1077251917,3462.30,40108032000,75497472,2359296,491520
8,c9,32,PASS,2.227796,2227795906000,1077251917,3570.00,40108032000,75497472,2359296,491520
8,c9,64,PASS,2.659794,2659794364000,1077251917,3869.92,40108032000,75497472,2359296,491520
8,c9,128,PASS,3.531697,3531697094000,1077251917,3674.08,40108032000,75497472,2359296,491520
8,c14,0,PASS,1.971072,1971071546000,1077251917,3683.23,40108032000,75497472,2359296,491520
8,c14,2,PASS,1.971072,1971071546000,1077251917,4409.48,40108032000,75497472,2359296,491520
8,c14,4,PASS,1.971072,1971071546000,1077251917,4557.57,40108032000,75497472,2359296,491520
8,c14,8,PASS,1.977215,1977214573000,1077251917,3677.48,40108032000,75497472,2359296,491520
8,c14,16,PASS,1.999978,1999978139000,1077251917,4498.10,40108032000,75497472,2359296,491520
8,c14,32,PASS,2.241207,2241206820000,1077251917,3964.02,40108032000,75497472,2359296,491520
8,c14,64,PASS,2.659794,2659794364000,1077251917,3879.05,40108032000,75497472,2359296,491520
8,c14,128,PASS,3.531697,3531697094000,1077251917,3572.86,40108032000,75497472,2359296,491520
8,c18,0,PASS,2.041797,2041796506000,1077251917,4527.59,40108032000,75497472,2359296,491520
8,c18,2,PASS,2.041797,2041796506000,1077251917,3550.16,40108032000,75497472,2359296,491520
8,c18,4,PASS,2.041797,2041796506000,1077251917,4462.36,40108032000,75497472,2359296,491520
8,c18,8,PASS,2.048163,2048162549000,1077251917,3599.67,40108032000,75497472,2359296,491520
8,c18,16,PASS,2.055526,2055525625000,1077251917,4533.70,40108032000,75497472,2359296,491520
8,c18,32,PASS,2.248006,2248005789000,1077251917,3793.74,40108032000,75497472,2359296,491520
8,c18,64,PASS,2.674437,2674436545000,1077251917,3803.01,40108032000,75497472,2359296,491520
8,c18,128,PASS,3.531697,3531697094000,1077251917,3573.25,40108032000,75497472,2359296,491520
8,c50,0,PASS,3.459390,3459389639000,1077251917,3492.99,40108032000,75497472,2359296,491520
8,c50,2,PASS,3.459390,3459389639000,1077251917,4096.75,40108032000,75497472,2359296,491520
8,c50,4,PASS,3.459390,3459389639000,1077251917,3563.08,40108032000,75497472,2359296,491520
8,c50,8,PASS,3.466646,3466646193000,1077251917,3593.09,40108032000,75497472,2359296,491520
8,c50,16,PASS,3.466646,3466646193000,1077251917,3645.14,40108032000,75497472,2359296,491520
8,c50,32,PASS,3.475001,3475000607000,1077251917,4062.97,40108032000,75497472,2359296,491520
8,c50,64,PASS,3.505010,3505009582000,1077251917,3900.05,40108032000,75497472,2359296,491520
8,c50,128,PASS,3.676763,3676762608000,1077251917,4035.70,40108032000,75497472,2359296,491520
8,c500,0,PASS,19.389372,19389371645000,1077251917,4548.94,40108032000,75497472,2359296,491520
8,c500,2,PASS,19.389372,19389371645000,1077251917,4665.26,40108032000,75497472,2359296,491520
8,c500,4,PASS,19.389372,19389371645000,1077251917,4575.58,40108032000,75497472,2359296,491520
8,c500,8,PASS,19.396663,19396663008000,1077251917,4488.91,40108032000,75497472,2359296,491520
8,c500,16,PASS,19.396663,19396663008000,1077251917,4500.85,40108032000,75497472,2359296,491520
8,c500,32,PASS,19.396963,19396963303000,1077251917,4545.88,40108032000,75497472,2359296,491520
8,c500,64,PASS,19.429789,19429788962000,1077251917,4603.33,40108032000,75497472,2359296,491520
8,c500,128,PASS,19.510472,19510471615000,1077251917,5114.08,40108032000,75497472,2359296,491520
8,c5000,0,PASS,178.636272,178636272451000,1077251917,14720.31,40108032000,75497472,2359296,491520
8,c5000,2,PASS,178.636272,178636272451000,1077251917,14879.25,40108032000,75497472,2359296,491520
8,c5000,4,PASS,178.636272,178636272451000,1077251917,14939.81,40108032000,75497472,2359296,491520
8,c5000,8,PASS,178.642733,178642732749000,1077251917,14649.15,40108032000,75497472,2359296,491520
8,c5000,16,PASS,178.649915,178649914746000,1077251917,14792.47,40108032000,75497472,2359296,491520
8,c5000,32,PASS,178.650179,178650179464000,1077251917,15033.03,40108032000,75497472,2359296,491520
8,c5000,64,PASS,178.683985,178683984749000,1077251917,15102.59,40108032000,75497472,2359296,491520
8,c5000,128,PASS,178.765344,178765344157000,1077251917,15141.78,40108032000,75497472,2359296,491520
16,c5,0,PASS,1.071503,1071502946000,942926467,3500.81,20635392000,37748736,1179648,61440
16,c5,2,PASS,1.071503,1071502946000,942926467,3501.97,20635392000,37748736,1179648,61440
16,c5,4,PASS,1.071503,1071502946000,942926467,3524.00,20635392000,37748736,1179648,61440
16,c5,8,PASS,1.071554,1071553892000,942926467,3509.43,20635392000,37748736,1179648,61440
16,c5,16,PASS,1.206615,1206614507000,942926467,3547.65,20635392000,37748736,1179648,61440
16,c5,32,PASS,1.455262,1455262198000,942926467,3623.83,20635392000,37748736,1179648,61440
16,c5,64,PASS,1.855944,1855944128000,942926467,3695.82,20635392000,37748736,1179648,61440
16,c5,128,PASS,2.660110,2660110167000,942926467,3902.50,20635392000,37748736,1179648,61440
16,c9,0,PASS,1.073161,1073160679000,942926467,3418.32,20635392000,37748736,1179648,61440
16,c9,2,PASS,1.073161,1073160679000,942926467,3325.45,20635392000,37748736,1179648,61440
16,c9,4,PASS,1.073161,1073160679000,942926467,3422.83,20635392000,37748736,1179648,61440
16,c9,8,PASS,1.073244,1073244345000,942926467,3291.96,20635392000,37748736,1179648,61440
16,c9,16,PASS,1.209269,1209269070000,942926467,3354.25,20635392000,37748736,1179648,61440
16,c9,32,PASS,1.456137,1456137111000,942926467,3499.78,20635392000,37748736,1179648,61440
16,c9,64,PASS,1.855944,1855944128000,942926467,3607.81,20635392000,37748736,1179648,61440
16,c9,128,PASS,2.660110,2660110167000,942926467,3895.11,20635392000,37748736,1179648,61440
16,c14,0,PASS,1.076731,1076730842000,942926467,3572.15,20635392000,37748736,1179648,61440
16,c14,2,PASS,1.076731,1076730842000,942926467,3610.84,20635392000,37748736,1179648,61440
16,c14,4,PASS,1.076731,1076730842000,942926467,3605.87,20635392000,37748736,1179648,61440
16,c14,8,PASS,1.076811,1076811404000,942926467,3601.80,20635392000,37748736,1179648,61440
16,c14,16,PASS,1.211784,1211784022000,942926467,3631.38,20635392000,37748736,1179648,61440
16,c14,32,PASS,1.459626,1459625698000,942926467,3712.56,20635392000,37748736,1179648,61440
16,c14,64,PASS,1.855944,1855944128000,942926467,3802.07,20635392000,37748736,1179648,61440
16,c14,128,PASS,2.660110,2660110167000,942926467,3983.70,20635392000,37748736,1179648,61440
16,c18,0,PASS,1.109341,1109341179000,942926467,3552.55,20635392000,37748736,1179648,61440
16,c18,2,PASS,1.109341,1109341179000,942926467,3589.73,20635392000,37748736,1179648,61440
16,c18,4,PASS,1.109341,1109341179000,942926467,3315.37,20635392000,37748736,1179648,61440
16,c18,8,PASS,1.109405,1109404606000,942926467,3443.99,20635392000,37748736,1179648,61440
16,c18,16,PASS,1.213611,1213610608000,942926467,3630.43,20635392000,37748736,1179648,61440
16,c18,32,PASS,1.461483,1461483084000,942926467,3438.83,20635392000,37748736,1179648,61440
16,c18,64,PASS,1.858842,1858842110000,942926467,3643.44,20635392000,37748736,1179648,61440
16,c18,128,PASS,2.660110,2660110167000,942926467,3948.09,20635392000,37748736,1179648,61440
16,c50,0,PASS,1.778510,1778509758000,942926467,3727.19,20635392000,37748736,1179648,61440
16,c50,2,PASS,1.778510,1778509758000,942926467,3281.03,20635392000,37748736,1179648,61440
16,c50,4,PASS,1.778510,1778509758000,942926467,3386.05,20635392000,37748736,1179648,61440
16,c50,8,PASS,1.778568,1778568034000,942926467,3395.58,20635392000,37748736,1179648,61440
16,c50,16,PASS,1.778568,1778568034000,942926467,3327.83,20635392000,37748736,1179648,61440
16,c50,32,PASS,1.780523,1780523182000,942926467,3414.07,20635392000,37748736,1179648,61440
16,c50,64,PASS,1.897059,1897059214000,942926467,3508.95,20635392000,37748736,1179648,61440
16,c50,128,PASS,2.695317,2695317086000,942926467,3740.24,20635392000,37748736,1179648,61440
16,c500,0,PASS,9.298172,9298172265000,942926467,4109.31,20635392000,37748736,1179648,61440
16,c500,2,PASS,9.298172,9298172265000,942926467,3967.90,20635392000,37748736,1179648,61440
16,c500,4,PASS,9.298172,9298172265000,942926467,3944.77,20635392000,37748736,1179648,61440
16,c500,8,PASS,9.298222,9298222144000,942926467,3986.02,20635392000,37748736,1179648,61440
16,c500,16,PASS,9.299030,9299029743000,942926467,4015.59,20635392000,37748736,1179648,61440
16,c500,32,PASS,9.300823,9300823020000,942926467,3791.13,20635392000,37748736,1179648,61440
16,c500,64,PASS,9.316871,9316871200000,942926467,4206.98,20635392000,37748736,1179648,61440
16,c500,128,PASS,9.353933,9353932709000,942926467,4400.66,20635392000,37748736,1179648,61440
16,c5000,0,PASS,84.501051,84501051070000,942926467,10066.22,20635392000,37748736,1179648,61440
16,c5000,2,PASS,84.501051,84501051070000,942926467,9705.79,20635392000,37748736,1179648,61440
16,c5000,4,PASS,84.501051,84501051070000,942926467,9798.18,20635392000,37748736,1179648,61440
16,c5000,8,PASS,84.501099,84501099037000,942926467,9885.49,20635392000,37748736,1179648,61440
16,c5000,16,PASS,84.501099,84501099037000,942926467,9910.12,20635392000,37748736,1179648,61440
